INFO 2016-07-15 16:02:48,800   __main__ - Starting Fibonacci Server with Args: Namespace(config=['fibonacci/templates/fibonacci.conf.template'], func=<function _fibonacci_server at 0x102195668>, host=None, port=None)
DEBUG 2016-07-15 16:02:48,800   __main__ - Fibonacci Server Host Address: 127.0.0.1
DEBUG 2016-07-15 16:02:48,800   __main__ - Fibonacci Server Host Port: 8889
INFO 2016-07-15 16:02:54,607   fibonacci.handlers.basehttphandler - Got and starting to process request: /fib?n=1
INFO 2016-07-15 16:02:54,607   fibonacci.handlers.basehttphandler - Got Fibonacci Query Request with N=1
INFO 2016-07-15 16:02:54,607   fibonacci.handlers.basehttphandler - After Processing Fibonacci Query Request, and it takes 4.05311584473e-06 second(s) to generate fibonacci list.
INFO 2016-07-15 16:02:54,607   fibonacci.handlers.basehttphandler - Start Processing Response...
INFO 2016-07-15 16:02:54,608   fibonacci.handlers.basehttphandler - End Processing Response...It takes 0.000747919082642 second(s) to generate response.
INFO 2016-07-15 16:02:54,608   fibonacci.handlers.basehttphandler - End Processing Request...
INFO 2016-07-15 16:03:46,098   fibonacci.handlers.basehttphandler - Got and starting to process request: /fib?n=2
INFO 2016-07-15 16:03:46,098   fibonacci.handlers.basehttphandler - Got Fibonacci Query Request with N=2
INFO 2016-07-15 16:03:46,098   fibonacci.handlers.basehttphandler - After Processing Fibonacci Query Request, and it takes 3.09944152832e-06 second(s) to generate fibonacci list.
INFO 2016-07-15 16:03:46,098   fibonacci.handlers.basehttphandler - Start Processing Response...
INFO 2016-07-15 16:03:46,099   fibonacci.handlers.basehttphandler - End Processing Response...It takes 0.000212907791138 second(s) to generate response.
INFO 2016-07-15 16:03:46,099   fibonacci.handlers.basehttphandler - End Processing Request...
INFO 2016-07-15 16:04:14,426   fibonacci.handlers.basehttphandler - Got and starting to process request: /fib?n=10
INFO 2016-07-15 16:04:14,426   fibonacci.handlers.basehttphandler - Got Fibonacci Query Request with N=10
INFO 2016-07-15 16:04:14,426   fibonacci.handlers.basehttphandler - After Processing Fibonacci Query Request, and it takes 1.00135803223e-05 second(s) to generate fibonacci list.
INFO 2016-07-15 16:04:14,426   fibonacci.handlers.basehttphandler - Start Processing Response...
INFO 2016-07-15 16:04:14,427   fibonacci.handlers.basehttphandler - End Processing Response...It takes 0.000218152999878 second(s) to generate response.
INFO 2016-07-15 16:04:14,427   fibonacci.handlers.basehttphandler - End Processing Request...
INFO 2016-07-15 16:04:48,401   fibonacci.handlers.basehttphandler - Got and starting to process request: /fib?n=-1
ERROR 2016-07-15 16:04:48,401   fibonacci.handlers.basehttphandler - Got Exception When Processing Request. Error code is 400 and error message is Negative N...
INFO 2016-07-15 16:05:02,114   fibonacci.handlers.basehttphandler - Got and starting to process request: /fib
ERROR 2016-07-15 16:05:02,115   fibonacci.handlers.basehttphandler - Got Exception When Processing Request. Error code is 400 and error message is N NOT Passed in...
ERROR 2016-07-15 16:05:02,115   fibonacci.handlers.basehttphandler - Got Exception When Processing Request. Error code is 500 and error message is Failed when processing request: n
INFO 2016-07-15 16:05:02,115   fibonacci.handlers.basehttphandler - End Processing Request...
INFO 2016-07-15 16:05:52,726   fibonacci.handlers.basehttphandler - Got and starting to process request: /ffib
ERROR 2016-07-15 16:05:52,726   fibonacci.handlers.basehttphandler - Got Exception When Processing Request. Error code is 404 and error message is Page Not Found
INFO 2016-07-15 16:05:52,727   fibonacci.handlers.basehttphandler - End Processing Request...
INFO 2016-07-15 16:15:26,587   fibonacci.handlers.basehttphandler - Got and starting to process request: /fib?n=5
INFO 2016-07-15 16:15:26,587   fibonacci.handlers.basehttphandler - Got Fibonacci Query Request with N=5
INFO 2016-07-15 16:15:26,587   fibonacci.handlers.basehttphandler - After Processing Fibonacci Query Request, and it takes 5.00679016113e-06 second(s) to generate fibonacci list.
INFO 2016-07-15 16:15:26,587   fibonacci.handlers.basehttphandler - Start Processing Response...
INFO 2016-07-15 16:15:26,587   fibonacci.handlers.basehttphandler - End Processing Response...It takes 0.000251054763794 second(s) to generate response.
INFO 2016-07-15 16:15:26,588   fibonacci.handlers.basehttphandler - End Processing Request...
